Topic,Age,Total male and female,Male,Female
All causes of death,Total of all ages,170112,83749,86363
All causes of death,40 to 45 years,1061,633,428
All causes of death,45 to 50 years,1777,1014,763
All causes of death,50 to 55 years,3444,2047,1397
All causes of death,55 to 60 years,5433,3100,2333
All causes of death,60 to 65 years,8189,4747,3442
All causes of death,65 to 70 years,12003,6868,5135
All causes of death,70 to 75 years,18018,10449,7569
All causes of death,75 to 80 years,24396,13805,10591
All causes of death,80 to 85 years,27504,14406,13098
All causes of death,85 to 90 years,30858,13780,17078
All causes of death,90 to 95 years,23792,8371,15421
All causes of death,95 to 100 years,10628,2702,7926
Average population,Total of all ages,17695167,8794923,8900245
Average population,40 to 45 years,1053466,525919,527547
Average population,45 to 50 years,1075056,533823,541233
Average population,50 to 55 years,1278862,638718,640144
Average population,55 to 60 years,1266260,635366,630894
Average population,60 to 65 years,1169959,582469,587491
Average population,65 to 70 years,1023969,505296,518673
Average population,70 to 75 years,934322,455925,478398
Average population,75 to 80 years,742158,351625,390533
Average population,80 to 85 years,464177,204966,259212
Average population,85 to 90 years,264302,101899,162403
Average population,90 to 95 years,107821,33409,74412
Average population,95 to 100 years,26563,6048,20516
