x,y
2.48726401,0.148007923
1.499996345,2.190626896
0.555029711,9.499696675
-0.469605385,15.26482455
-1.43494595,16.42504221
-2.467346894,12.34643721
-3.473983496,8.543510675
-4.472762888,7.111890335
-5.448884276,5.018455309
-6.471418026,3.917769722
-7.46873561,2.927322628
-8.46495684,2.267755469
-9.458619908,2.38024149
-10.4793264,1.831022461
-11.47353765,1.778068515
-12.49488368,1.03583619
-13.48946037,0.872588933
-14.48220981,1.260808233
-15.50227676,0.904602498
-16.49639665,0.87922188
-17.49188697,0.440241344
-18.48618958,0.359714071
-19.50543427,0.251668287
-20.52422214,0.281489142
