x,a,b,y
7.5,0.00424187,0.00224502,0.003243445
6.5,0.003580621,0.00216203,0.002871326
5.5,0.004309856,0.00208512,0.003197488
4.5,0.004346278,0.00355454,0.003950409
3.5,0.005077132,0.00502396,0.005050546
2.5,0.007202519,0.00804377,0.007623145
1.5,0.028839212,0.01726509,0.023052151
0.5,0.442809622,0.28617529,0.364492456
-0.5,0.45678165,0.56748854,0.512135095
-1.5,0.038698869,0.07671594,0.057707405
-2.5,0.008771064,0.01073568,0.009753372
-3.5,0.006711236,0.0021337,0.004422468
-4.5,0,0.00127552,0.00063776
